"Search query: (""rnaseq"" OR ""rna seq"" OR ""rna sequencing"" OR ""rnaseq"") AND ""medicine"""
Year,Count
2022,2
2021,4788
2020,5886
2019,4091
2018,2899
2017,2122
2016,1594
2015,1091
2014,650
2013,269
2012,108
2011,70
2010,26
2009,3
2007,2
2006,2
2003,1
2001,1
2000,2
