ensembl_id	SRR349741	SRR349742	SRR349743	SRR349744	SRR349745	SRR349746	SRR349747	SRR349748	SRR349749	SRR349750	SRR349751	SRR349752
ENSG00000164967.9	2506	2615	1776	1471	3516	2707	2714	809	1596	836	1174	1318
ENSG00000164970.14	1841	2031	1133	1897	2706	948	1677	188	226	76	259	114
ENSG00000164972.12	0	38	38	24	0	76	38	0	0	38	0	38
ENSG00000164975.15	3262	3786	2129	6520	2191	4085	1903	1088	4029	1245	2393	1262
ENSG00000164976.8	3407	3369	3631	2436	3750	4564	3003	532	2241	1240	1869	827
ENSG00000164978.17	4560	4289	1784	986	2691	2552	4398	795	2535	607	2385	1400
ENSG00000164983.7	8422	8929	12310	6586	9121	11293	7698	2199	8205	2881	5268	3255
ENSG00000164985.14	3994	4136	4437	9541	2559	8670	3051	416	1216	522	872	494
ENSG00000164989.15	417	676	645	683	418	856	530	76	260	152	479	0
ENSG00000165006.13	10377	8928	6145	10556	8857	10017	13128	5045	19745	6819	17809	13714
ENSG00000165023.6	570	0	36	350	114	0	0	0	0	0	0	0
ENSG00000165025.14	13732	9202	3776	9712	12912	39345	14029	3102	5524	2350	4891	2731
ENSG00000165028.11	379	465	418	730	382	1140	465	0	531	321	202	50
ENSG00000165029.15	15652	19004	24724	19245	24040	34090	74969	2010	2187	1779	1367	1096
ENSG00000165030.3	3253	5239	2239	3058	3608	1329	3034	373	646	342	869	450
ENSG00000165046.12	341	114	228	570	903	387	552	0	144	76	38	38
ENSG00000165055.15	6192	4190	3050	6835	6334	7635	5267	971	2689	911	1503	1325
ENSG00000165059.7	0	0	40	38	38	0	74	0	59	0	0	38
ENSG00000165060.11	1437	1210	834	1374	1735	2869	941	342	190	151	266	76
ENSG00000165061.14	0	0	0	0	0	0	38	0	0	0	0	0
ENSG00000165066.12	38	0	48	0	23	0	43	32	0	34	54	81
ENSG00000165071.14	265	228	146	531	414	342	549	38	418	152	38	97
ENSG00000165072.9	380	985	568	340	1138	492	519	38	266	189	564	341
ENSG00000165076.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165078.11	38	303	1098	770	0	617	380	76	114	38	0	0
ENSG00000165084.15	76	0	0	73	0	0	76	0	0	0	76	114
ENSG00000165091.15	0	38	40	0	0	0	378	76	824	380	604	342
ENSG00000165092.12	21364	6672	946	23377	43828	93510	12763	529	2241	342	3320	2268
ENSG00000165097.13	3678	3262	2423	5807	4896	4211	4554	493	1015	380	729	623
ENSG00000165102.14	6625	8948	5405	9131	16087	8791	7485	1880	4436	1821	2492	2535
ENSG00000165105.9	1281	1610	106	5979	2453	20413	2373	1396	4615	2104	2960	2897
ENSG00000165113.12	563	259	266	564	114	342	38	114	152	38	113	192
ENSG00000165115.14	774	284	294	956	871	722	340	76	190	152	217	183
ENSG00000165118.14	782	683	665	852	2102	1394	1457	76	114	76	114	110
ENSG00000165119.19	20612	20974	19557	29659	36196	44539	45658	3888	9187	5492	10607	6419
ENSG00000165120.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165121.11	707	300	147	868	245	761	325	114	120	139	226	38
ENSG00000165124.17	2420	4788	1211	3260	3003	6730	4617	114	76	266	540	114
ENSG00000165125.18	0	1616	340	19	114	113	152	114	418	304	227	304
ENSG00000165131.6	0	0	38	0	0	0	0	0	0	0	0	0
ENSG00000165138.17	4184	5916	1132	3866	5472	9841	1398	937	2122	1890	2941	1873
ENSG00000165140.9	187	798	1017	718	565	4550	10294	225	188	76	453	190
ENSG00000165152.8	13588	7569	908	17704	12027	27881	5044	3254	7258	6014	6862	5388
ENSG00000165156.14	9901	9024	13435	8707	6262	10150	9616	6166	19093	8625	15153	9105
ENSG00000165164.13	38	38	0	38	76	38	76	0	0	0	0	0
ENSG00000165168.7	19194	12858	5959	10353	8069	8569	54779	1731	2390	1518	1493	874
ENSG00000165169.10	11023	17106	6103	12474	10481	28674	7866	7040	18247	9346	14547	13662
ENSG00000165171.10	1779	532	38	417	474	493	529	38	73	114	114	136
ENSG00000165175.15	1515	3852	1628	2127	2743	5023	2705	1728	2879	1518	2551	1241
ENSG00000165178.9	150	76	35	303	195	151	216	38	38	0	0	0
ENSG00000165181.16	1166	1108	189	673	956	1319	670	38	64	0	87	0
ENSG00000165182.10	76	151	86	107	38	354	100	0	0	0	38	75
ENSG00000165185.14	1515	3150	1799	4412	1398	5240	2247	416	911	836	1727	678
ENSG00000165186.10	339	72	418	2199	76	114	38	133	0	74	38	27
ENSG00000165188.13	0	0	532	0	53	76	0	113	152	75	99	0
ENSG00000165192.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165194.15	2050	679	2268	3272	11250	911	7923	163	0	33	204	0
ENSG00000165195.15	3295	2980	1438	3959	1813	6725	1750	1055	2232	1026	1996	491
ENSG00000165197.4	0	16	0	76	190	38	0	0	0	0	0	0
ENSG00000165202.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165204.3	0	0	0	0	427	0	0	0	0	0	0	0
ENSG00000165209.18	2167	2636	2065	3667	9624	5508	4062	376	1251	294	1325	384
ENSG00000165215.6	417	303	164	760	235	1172	380	101	912	190	190	405
ENSG00000165219.21	15735	16652	14066	20710	24805	42790	19318	7337	17993	9201	14097	11318
ENSG00000165233.17	4512	2658	2083	2459	2841	2772	2085	378	834	633	529	482
ENSG00000165238.16	418	1810	232	3009	1485	874	2504	75	0	0	0	0
ENSG00000165240.18	2681	5629	3201	3715	5861	5067	5057	679	2581	1663	1957	1170
ENSG00000165244.6	3526	1248	1215	2441	4374	8024	4094	211	911	456	598	304
ENSG00000165246.12	341	3226	683	1476	1598	0	1024	532	1102	351	38	418
ENSG00000165259.13	38	497	868	1071	380	1773	189	76	304	38	114	37
ENSG00000165264.10	455	674	536	940	1445	671	1576	0	226	0	114	38
ENSG00000165269.12	0	0	0	22	0	0	76	38	76	0	151	114
ENSG00000165271.16	3106	4954	2727	3888	6303	2934	13891	1137	1878	938	1453	308
ENSG00000165272.14	1519	17458	14880	7056	16826	7092	23652	142861	556458	201551	429603	298621
ENSG00000165275.9	470	641	446	684	1597	493	646	0	257	109	335	76
ENSG00000165280.15	80385	81084	38806	82003	135343	61496	91626	22202	62705	26022	42741	33079
ENSG00000165282.13	5226	4432	3526	5346	8275	4005	5945	1098	2353	1021	2089	1279
ENSG00000165283.15	9684	11817	4449	12069	22911	9837	12350	1973	5824	2693	4378	3526
ENSG00000165288.10	2551	5484	5343	6718	8149	9508	8546	1704	5025	2327	4575	2161
ENSG00000165300.7	0	0	0	335	0	754	0	38	0	0	38	38
ENSG00000165304.7	3995	2858	1476	3790	10300	3867	9149	38	494	303	379	303
ENSG00000165309.13	0	38	0	76	38	0	75	0	0	0	0	0
ENSG00000165312.6	884	1363	910	1381	1687	3941	1161	594	1379	899	1906	1393
ENSG00000165322.17	6171	5445	4502	8272	6541	12842	4601	797	4165	2049	2618	3356
ENSG00000165323.15	114	608	2012	751	1193	754	684	0	0	0	38	0
ENSG00000165325.13	38	152	38	0	114	62	0	0	0	0	0	0
ENSG00000165338.16	1913	1654	1855	1596	2286	1703	2263	152	940	227	831	453
ENSG00000165349.11	0	0	0	260	38	0	0	0	0	0	0	0
ENSG00000165355.7	3337	4577	3099	7358	2837	7271	4585	1137	3111	1367	3203	1873
ENSG00000165359.14	190	949	668	1189	1232	2310	1489	248	530	266	451	152
ENSG00000165370.1	0	0	0	0	21	0	0	0	0	0	0	0
ENSG00000165376.10	0	0	38	57	0	76	0	0	0	0	111	0
ENSG00000165379.13	0	38	76	0	76	76	38	0	0	0	38	0
ENSG00000165383.11	0	0	0	0	0	76	38	0	0	38	0	0
ENSG00000165389.6	8140	6406	6086	7001	4412	3673	6023	568	1665	1028	1201	1097
ENSG00000165392.9	1823	2279	1973	3541	3516	3476	4722	265	912	450	342	270
ENSG00000165406.15	5642	4904	5424	4404	9295	8748	7110	2137	3645	2579	2749	1746
ENSG00000165409.16	114	38	69	37	0	0	0	0	0	0	0	38
ENSG00000165410.14	2619	4378	4649	7213	5241	5522	6558	379	759	758	948	1100
ENSG00000165416.14	2523	2767	2796	4673	9398	4206	3703	679	2837	1532	2617	1444
ENSG00000165417.11	13959	9130	13854	15206	13196	18081	12632	2500	8181	4535	7925	5062
ENSG00000165424.6	1096	3090	2920	2024	2261	1879	1913	37	552	304	152	293
ENSG00000165434.7	35966	5243	5053	8823	4791	4243	3274	76	190	202	230	76
ENSG00000165443.11	59	492	361	266	494	564	374	36	226	38	266	114
ENSG00000165449.11	1130	2959	114	4919	3021	5037	1155	2846	3189	2791	5287	4004
ENSG00000165457.13	719	1367	213	601	568	418	906	0	76	38	0	150
ENSG00000165458.13	4909	3706	3240	4688	3973	4124	4110	798	1553	1019	882	532
ENSG00000165462.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165471.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165474.5	3738	17906	14879	4767	9703	1283	4847	11587	22246	8441	14301	8828
ENSG00000165475.13	1697	1122	947	1817	1607	378	1515	1361	3514	2648	2459	3766
ENSG00000165476.13	10712	11839	13613	8267	12887	26875	7462	2094	5915	3782	4200	3314
ENSG00000165478.6	0	0	0	0	0	20	0	0	0	0	0	0
ENSG00000165480.15	1021	456	150	1277	2009	949	1391	151	295	149	190	152
ENSG00000165487.13	6467	3830	2038	6666	6593	7283	4383	1658	7479	3447	4304	3826
ENSG00000165490.12	3017	3409	1899	5997	5469	13422	3194	342	1218	412	834	532
